"Service","Status"
"Exchange Online","serviceOperational"
"Microsoft Entra","serviceOperational"
"Microsoft 365 suite","serviceOperational"
"SharePoint Online","serviceDegradation"
"Dynamics 365 Apps","serviceOperational"
"Basic Mobility and Security","serviceOperational"
"Planner","serviceOperational"
"Sway","serviceOperational"
"Microsoft Intune","serviceOperational"
"Microsoft OneDrive","serviceOperational"
"Microsoft Teams","serviceOperational"
"Microsoft Bookings","serviceOperational"
"Microsoft 365 for the web","serviceOperational"
"Microsoft 365 apps","serviceOperational"
"Power Apps in Microsoft 365","serviceOperational"
"Microsoft Power Automate in Microsoft 365","serviceOperational"
"Microsoft Forms","serviceOperational"
"Microsoft Defender XDR","serviceOperational"
"Project for the web","serviceOperational"
"Microsoft Stream","serviceOperational"
"Universal Print","serviceOperational"
"Microsoft Viva","serviceOperational"
"Windows Autopatch","serviceOperational"
"Microsoft Purview","serviceOperational"
"Microsoft Clipchamp ","serviceOperational"
"Microsoft 365 Copilot Chat","serviceOperational"
